Charge (C),Temperature (K)
0.00197511411,1667.4466142315478
0.0016843205999999,1667.8178250510796
0.001391245332,1667.999055402086
0.001092422124,1668.2194305020312
0.0007941737099999,1668.2881767119147
0.000494218332,1668.025139120737
0.000199976058,1667.8983999461148
-9.0242658e-05,1667.5651143850296
-0.000369557706,1667.7723237394025
-0.000646573578,1667.815907033173
-0.00090582309,1667.7366087317082
-0.001157617698,1667.6618845303683
-0.0014025147779999,1667.383345971968
-0.001634801226,1667.1184715139852
-0.001853902248,1667.201760703963
-0.002054644698,1667.2140892211892
-0.002253087972,1667.211136020947
-0.002437196232,1667.493694546115
-0.0026121426239999,1667.2260753146934
-0.002772736584,1667.2923073653496
-0.002928157398,1667.0606694836683
-0.003064662264,1666.8323948100783
-0.0031931374319999,1666.8199573889606
-0.003306127998,1666.7983978343027
-0.0034065079319999,1666.9148813817587
-0.0035441623859999,1666.773746776532
-0.0035688262739999,1666.7746918591115
-0.00363592041,1666.8539495259856
-0.0036823916339999,1667.0768814040512
-0.003721390536,1667.1995560043802
-0.0037345759619999,1667.4701510355412
-0.0037374499319999,1667.658249845006
-0.003732276786,1667.7290019268637
-0.0037167921839999,1667.721642542922
-0.003717941772,1667.698962227019
-0.003625608954,1667.6610739701691
-0.003563653128,1667.605763359055
-0.0034437824519999,1667.59249920126
-0.003370940376,1667.619505829321
-0.003244764384,1667.5944244358602
-0.003103678584,1667.594300914985
-0.00295627005,1667.966263614503
-0.002768713026,1667.7908192481505
-0.0025782994499999,1667.731520605494
-0.002368952508,1667.6770254084777
-0.0021481271039999,1667.7090958174203
-0.001915265862,1667.6670388126522
-0.001669793988,1667.6264449538153
-0.001415142828,1667.7645505268465
-0.0011415583019999,1667.6574315052767
-0.0008570701079999,1667.690605045943
-0.000570300156,1667.5743138966936
-0.000273776124,1667.730898118234
2.3322702e-05,1668.154285615964
0.0003215711159999,1668.3447944608752
0.000620969118,1668.0967037983355
0.000910038246,1667.9032284362245
0.0011968081979999,1667.8783597680504
0.001469243136,1667.7344926283631
0.0017457016319999,1667.503995128778
0.002011813836,1667.5694091161631
0.0022693389659999,1667.463282463756
0.002509080318,1667.4695313222824
0.002741366766,1667.540007686432
0.002960467788,1667.4501460164906
0.00316981473,1667.274169125731
0.003372281562,1667.4427650635566
0.003555240234,1667.6258138171552
0.003733043178,1668.124108823266
0.00388961358,1668.2022405075736
0.00404332743,1668.2476691616134
0.004175233944,1668.253395365883
0.004306583082,1668.121132054685
0.004426453758,1667.8846101014274
0.00452911545,1667.910831939697
0.00461916651,1667.8626671921834
0.0046948825559999,1667.9283170762335
0.004757395758,1667.9159500717078
0.00480614874,1667.724044597766
0.004845147642,1667.5118494401968
0.0048646383839999,1667.6914807482412
0.004872093288,1667.8111888996991
0.0048640635899999,1668.010107109655
0.0048394171199999,1668.0388680165352
0.004800975594,1668.1013293194303
0.004752797406,1668.054429779933
0.00455950986,1667.954866037666
0.0046025323199999,1667.9564594768008
0.004530839832,1668.2444730989987
0.004386305268,1668.2056327202677
0.00422743569,1668.212731283933
0.004086907266,1668.3430417590698
0.003913702674,1668.440862442147
0.003720989922,1668.487064999143
0.003516241332,1668.651120020264
0.0033063195959999,1668.534483625643
0.003065428656,1668.48471889742
0.002814783636,1668.3902159927834
0.002554401954,1668.4648715150029
0.002280817428,1668.3725018728785
0.002002651968,1668.2373635739525
0.001713008046,1668.042319150887
0.001421064948,1667.995208344924
0.0011245409159999,1667.95336839149
0.000829166472,1668.064279449925
0.000532067646,1668.519843841657
0.000233244438,1668.7963476642108
-5.1226338e-05,1669.0964363484704
-0.000327684834,1668.6144193117825
-0.0006064250879999,1668.2695707382736
-0.000871405122,1667.9748030122464
-0.001131229428,1667.6953774970991
-0.00137097078,1667.7505999984128
-0.001606705992,1667.679672426067
-0.0018298131539999,1667.5428077190868
-0.002039160096,1667.2289364056342
-0.0022404773399999,1667.1702274917757
-0.0024217116299999,1666.8102450068322
-0.002595508434,1666.9516266040418
-0.00275953374,1667.2982427418738
-0.00290636748,1667.6230117007217
-0.003044021934,1667.94463630577
-0.003173071896,1667.8510298105948
-0.00328433808,1667.7142476601266
-0.003390448536,1667.56487320187
-0.003484505736,1667.4852446170155
-0.0035625209579999,1667.4464411938998
-0.003623884572,1667.4964566673034
-0.003671487966,1667.4272579767023
-0.003715660014,1667.4163008444907
-0.0037345759619999,1667.1292931034727
-0.00374948577,1666.8647728969868
-0.003742030866,1666.83042204904
-0.003723114918,1666.8344639063705
-0.0036806672519999,1666.9402036379142
-0.003623884572,1666.9834423715763
-0.003557922606,1667.072526794991
-0.003495409404,1667.0295836243522
-0.003352599222,1667.0569177196244
-0.003255668052,1667.1365075728245
-0.003094499298,1667.13618476791
-0.002960850984,1667.0333089447313
-0.0027905203619999,1667.0750294173872
-0.0025995145739999,1667.1686099168564
-0.002393041602,1667.301702853209
-0.002179671102,1667.3828792671088
-0.001949109036,1667.4654057212206
-0.0017179721759999,1667.5799147941177
-0.001438657128,1667.522365528769
-0.00116622219,1667.3795131557922
-0.00087943482,1667.3124899048576
-0.00059438925,1667.4279582429965
-0.000294416454,1667.413690014558
-3.622944e-06,1667.1543966983263
0.000294050676,1667.2971257160193
0.000594006054,1667.9583594431929
0.000885374358,1668.2232242824452
0.001170994722,1668.43102178871
0.001446878424,1668.247928325708
0.0017135828399999,1668.631550205057
0.001977413286,1668.706260754564
0.0022337888279999,1669.0333635703532
0.002479260702,1669.0027647011602
0.0027184272599999,1668.6105660156036
0.00294555798,1668.1431835091437
0.003157204098,1667.9283951284956
0.003359078718,1667.5994056420195
0.003542612184,1667.3647807592783
