# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.389000,0.005883,0.276061,2.285448
0.390000,0.004698,0.272604,1.796717
0.391000,0.003282,0.269081,1.300093
0.392000,0.002393,0.263219,0.808730
0.393000,0.001701,0.257786,0.302567
0.394000,-0.000439,0.250410,-0.197677
0.395000,-0.003666,0.244714,-0.720614
0.396000,-0.002711,0.232596,-1.245855
0.397000,-0.004983,0.222783,-1.766821
0.398000,-0.006629,0.212246,-2.273975
0.399000,-0.008045,0.200359,-2.770604
0.400000,-0.009330,0.187714,-3.263946
0.401000,-0.010811,0.174214,-3.748409
0.402000,-0.012293,0.160022,-4.231228
0.403000,-0.013544,0.145204,-4.721283
0.404000,-0.015059,0.129695,-5.174833
0.405000,-0.016376,0.113395,-5.630028
0.406000,-0.017792,0.096700,-6.075028
0.407000,-0.018912,0.079874,-6.501939
0.408000,-0.019900,0.062718,-6.909776
0.409000,-0.020953,0.045595,-7.291630
0.410000,-0.021612,0.028374,-7.643226
0.411000,-0.022435,0.011481,-7.965222
0.412000,-0.022797,-0.005181,-8.248736
0.413000,-0.023324,-0.021217,-8.491138
0.414000,-0.023621,-0.037121,-8.692099
0.415000,-0.023851,-0.052005,-8.850302
0.416000,-0.023752,-0.066461,-8.962458
0.417000,-0.023653,-0.080521,-9.028568
0.418000,-0.023456,-0.093857,-9.050934
0.419000,-0.023127,-0.106436,-9.029555
0.420000,-0.022830,-0.117961,-8.960814
0.421000,-0.022468,-0.129354,-8.852604
0.422000,-0.022172,-0.139924,-8.702952
0.423000,-0.021414,-0.149968,-8.519424
0.424000,-0.020756,-0.159188,-8.294454
0.425000,-0.020064,-0.168111,-8.038238
0.426000,-0.019208,-0.175948,-7.756697
0.427000,-0.018352,-0.183324,-7.440293
0.428000,-0.017562,-0.189811,-7.109090
0.429000,-0.016673,-0.195574,-6.742036
0.430000,-0.015849,-0.203477,-6.369393
0.431000,-0.014829,-0.204893,-5.964518
0.432000,-0.013742,-0.208745,-5.550434
0.433000,-0.012655,-0.211413,-5.118591
0.434000,-0.011931,-0.213652,-4.673265
0.435000,-0.010910,-0.214409,-4.220703
