# Seconds,Charge (C)
0.912,7.437486000000001e-05
0.913,-0.000212395092
0.914,-0.00048597961799999996
0.915,-0.000758414556
0.916,-0.00101250834
0.917,-0.001261428978
0.918,-0.00149429022
0.919,-0.0017219783160000001
0.92,-0.0019422289259999998
0.921,-0.002142396582
0.922,-0.0023328101579999996
0.923,-0.002515211454
0.924,-0.0026798115539999998
0.925,-0.002843854278
0.926,-0.002988963636
0.927,-0.003118013598
0.928,-0.003239033862
0.929,-0.00334800087
0.93,-0.003442075488
0.931,-0.00351834891
0.932,-0.00359176578
0.933,-0.0036428179379999997
0.934,-0.003686397774
0.935,-0.0037162173899999997
0.936,-0.0037380247259999996
0.937,-0.0037345759619999996
0.938,-0.0037219653300000002
0.939,-0.003697301442
0.94,-0.0036548537759999995
0.941,-0.003592340574
0.942,-0.00352810299
0.943,-0.0034615662299999996
0.944,-0.003306702792
0.945,-0.003195436608
0.946,-0.00302280681
0.947,-0.0028604884680000003
0.948,-0.00267235665
0.949,-0.002479069104
0.95,-0.0022697221620000003
0.951,-0.002040309684
0.952,-0.001808023236
0.953,-0.0015510729
0.954,-0.0012900990059999998
0.955,-0.001008484782
0.956,-0.000723439212
0.957,-0.00043092132000000004
0.958,-0.000132098112
0.959,0.000169581648
0.96,0.00046897965
0.961,0.000765503682
0.962,0.0010476927
0.963,0.0013321634759999998
0.964,0.0016028740319999999
0.965,0.001873027212
0.966,0.002128253166
0.967,0.002375449422
0.968,0.002615765568
0.969,0.0028388727299999998
0.97,0.0030631294799999998
0.971,0.003267895488
0.972,0.0034279146539999998
0.973,0.003645866088
0.974,0.003813914952
0.975,0.0039699105600000005
0.976,0.004115594712
0.977,0.00424807602
0.978,0.004371970253999999
0.979,0.004480362468
0.98,0.004574437085999999
0.981,0.00463980684
0.982,0.004722977789999999
0.983,0.004780910057999999
0.984,0.004825064687999999
0.985,0.004856608686
0.986,0.004871535912
0.987,0.004882996955999999
0.988,0.004872093288
0.989,0.004839417119999999
0.99,0.004792945896000001
0.991,0.004726426554
0.992,0.004661614176
0.993,0.004564108212
0.994,0.004451692439999999
0.995,0.00429397245
0.996,0.0041872872
0.997,0.00400718508
0.998,0.0038293995539999998
0.999,0.003629806692
1.0,0.003425040684
1.001,0.0032036579040000002
1.002,0.002971371456
1.003,0.0027132715319999998
1.004,0.0024454175279999997
1.005,0.002163245928
1.006,0.0018856378439999998
1.007,0.00159313737
1.008,0.00129546375
1.009,0.0009995145119999999
1.01,0.0006966677459999999
1.011,0.00039843675
1.012,0.000105344064
1.013,-0.000175120572
1.014,-0.000455585208
1.015,-0.000723439212
1.016,-0.0009792399599999999
1.017,-0.001227585804
1.018,-0.001464453186
1.019,-0.0016950326699999999
1.02,-0.00191240931
1.021,-0.002115433518
1.022,-0.002312744622
1.023,-0.0024951285
1.024,-0.002666051334
1.025,-0.0028260705
1.026,-0.002971179858
1.027,-0.003104810754
1.028,-0.003221824878
1.029,-0.00333136668
1.03,-0.003419693358
1.031,-0.0035103192119999996
1.032,-0.0035820116999999998
1.033,-0.0036399439679999997
1.034,-0.0036829664279999998
1.035,-0.003714510426
1.036,-0.0037380247259999996
1.037,-0.00373572555
1.038,-0.0037213905360000002
1.039,-0.00370533114
1.04,-0.003658877334
1.041,-0.00360151986
1.042,-0.0035349831
1.043,-0.003449530392
1.044,-0.0033170316659999997
1.045,-0.0031937122259999996
1.046,-0.0030434471399999998
1.047,-0.0028794044159999995
1.048,-0.002699319714
1.049,-0.002505457374
1.05,-0.0022955356379999996
1.051,-0.002040309684
1.052,-0.0018269391839999998
1.053,-0.001580317722
1.054,-0.001311888924
1.055,-0.001041178368
1.056,-0.000757264968
1.057,-0.00046418969999999996
1.058,-0.00016881525599999998
1.059,0.000134588886
1.06,0.000437435652
1.061,0.000735109272
1.062,0.00102130443
1.063,0.001301194272
1.064,0.0015736292099999998
1.065,0.0018386092439999998
1.066,0.002101290102
1.067,0.002362263996
1.068,0.0025934008559999997
1.069,0.002825687304
1.07,0.003034459452
1.071,0.003246662946
1.072,0.0034382261099999995
1.073,0.003618903024
1.074,0.0037955563799999996
1.075,0.003955000752
1.076,0.004106415426
1.077,0.004240046322
1.078,0.004360491792
1.079,0.004466027454
1.08,0.004566982182
1.081,0.004646129574
1.082,0.004719546444
1.083,0.004779185676
1.084,0.004823357724
1.085,0.004859482656
1.086,0.004871535912
1.087,0.004877841228
1.088,0.0048646383839999995
1.089,0.004844572847999999
1.09,0.004804999152
1.091,0.0047505156479999994
1.092,0.004671368255999999
1.093,0.004586472924
1.094,0.004470625805999999
1.095,0.004369671078
1.096,0.004229734866
1.097,0.004031274174
1.098,0.003855195612
1.099,0.0036596263079999997
1.1,0.003450279366
1.101,0.003223148646
1.102,0.002992011786
1.103,0.002740791972
1.104,0.002481559878
1.105,0.002208550146
1.106,0.001918906224
1.107,0.0016275379199999999
1.108,0.001329306924
1.109,0.00103506465
1.11,0.000735684066
1.111,0.000432262506
1.112,0.00014204379
1.113,-0.000144151368
1.114,-0.00042519079799999994
1.115,-0.000697050942
1.116,-0.000956300454
1.117,-0.001209227232
1.118,-0.0014426632679999999
1.119,-0.001668069606
1.12,-0.0018831470699999999
1.121,-0.00211027779
1.122,-0.002285206764
1.123,-0.0024710394059999996
1.124,-0.002643686622
1.125,-0.002804280582
