Time (s),Temperature (K)
0.383,1667.7439461135136
0.384,1668.035520746569
0.385,1668.032619999467
0.386,1668.0315996229883
0.387,1667.9490089401575
0.388,1668.0054244601338
0.389,1667.9687863395893
0.39,1668.0424783288154
0.391,1668.0358956632272
0.392,1667.960141195129
0.393,1667.7623608662097
0.394,1667.7398136231682
0.395,1667.740288047613
0.396,1667.704243837788
0.397,1667.593879902614
0.398,1667.5579918440985
0.399,1667.3119921640923
0.4,1667.3517946238508
0.401,1667.2825821318293
0.402,1667.2541327227514
0.403,1667.2176206897807
0.404,1667.393733316771
0.405,1667.4466142315478
0.406,1667.8178250510796
0.407,1667.999055402086
0.408,1668.2194305020312
0.409,1668.2881767119147
0.41,1668.025139120737
0.411,1667.8983999461148
0.412,1667.5651143850296
0.413,1667.7723237394025
0.414,1667.815907033173
0.415,1667.7366087317082
0.416,1667.6618845303683
0.417,1667.383345971968
0.418,1667.1184715139852
0.419,1667.201760703963
0.42,1667.2140892211892
0.421,1667.211136020947
0.422,1667.493694546115
0.423,1667.2260753146934
0.424,1667.2923073653496
0.425,1667.0606694836683
0.426,1666.8323948100783
0.427,1666.8199573889606
0.428,1666.7983978343027
0.429,1666.9148813817587
0.43,1666.7737467765319
0.431,1666.7746918591115
0.432,1666.8539495259856
0.433,1667.0768814040512
0.434,1667.1995560043802
0.435,1667.4701510355412
0.436,1667.6582498450061
0.437,1667.7290019268635
0.438,1667.721642542922
0.439,1667.698962227019
0.44,1667.6610739701691
0.441,1667.605763359055
0.442,1667.5924992012601
0.443,1667.619505829321
0.444,1667.5944244358602
0.445,1667.594300914985
0.446,1667.966263614503
0.447,1667.7908192481505
0.448,1667.731520605494
0.449,1667.6770254084777
0.45,1667.7090958174203
0.451,1667.6670388126522
0.452,1667.6264449538153
0.453,1667.7645505268465
0.454,1667.6574315052767
0.455,1667.690605045943
0.456,1667.5743138966936
0.457,1667.730898118234
0.458,1668.154285615964
0.459,1668.3447944608752
0.46,1668.0967037983355
0.461,1667.9032284362243
0.462,1667.8783597680504
0.463,1667.7344926283631
0.464,1667.5039951287781
0.465,1667.5694091161631
0.466,1667.463282463756
0.467,1667.4695313222824
0.468,1667.540007686432
0.469,1667.4501460164906
0.47,1667.274169125731
0.471,1667.4427650635566
0.472,1667.6258138171552
0.473,1668.124108823266
0.474,1668.2022405075736
0.475,1668.2476691616134
0.476,1668.253395365883
